Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
Lords of Summer;Metallica;James Hetfield,Lars Ulrich,Robert Trujillo;8:21;Lords of Summer;Single;1;2014-06-20;https://www.metallica.com/songs/lords-of-summer.html;Sight,Pale riders into the night,Galloping harder and faster,Through your dreaming, ,Wake,Walk towards the fire innate,Frostbitten soul below zero,Excitation, ,Are you remembering the sound?,Recall the shaking of the ground?, ,Pounding,Pounding,No Remorse,Lords of summer set on course, ,Pushing,Pushing,Horsemen Ride,Lords of summer undenied, ,At last the thawing has begun,Come trade your darkness for the sun,Melting the chill of winter’s turn,So celebrate and let your fires burn,The Lords of Summer have returned , ,Straight,Light passes through penetrate,It’s been a long lonely winter,Illumination, ,Bright,Bathe in the volume and light,Reanimated by fire,Transformation, ,Become the nexus of the sound,Become the shaking of the ground, ,Pounding,Pounding,No Remorse,Lords of summer set on course, ,Pushing,Pushing,Horsemen Ride,Lords of summer undenied, ,At last the thawing has begun,Come trade your darkness for the sun,Melting the chill of winter’s turn,So celebrate and let your fires burn,The Lords of Summer have returned , ,Whoa Pounding,Pounding,No Remorse,Lords of summer set on course, ,Whoa Pushing,Pushing,Horsemen Ride,Lords of summer undenied,Undenied, ,At last the thawing has begun,Come trade your darkness for the sun,Melting the chill of winter’s turn,So celebrate and let your fires burn,The Lords of Summer have returned
Loverman;Nick Cave & the Bad Seeds;Nick Cave;7:53;Garage Inc.;Covers;6;1998-11-24;https://www.metallica.com/songs/loverman.html;There’s a devil waitin’ outside your door,(How much longer),There’s a devil waitin’ outside your door,(How much longer),It is bucking and braying and pawing at the floor,(How much longer),And he’s howling with pain and crawling up the walls,(How much longer), There’s a devil waitin’ outside your door,(How much longer),And he’s weak with evil and broken by the world,(How much longer),And he’s shouting your name and he’s asking for more,(How much longer),There’s a devil waiting outside your door,(How much longer), ,Loverman,Since the world began,Forever amen,’Til end of time,Take off that dress,I’m coming down,I’m your loverman,‘cause I am what I am what I am what I am what I am, ,L is for LOVE baby,O is for ONLY you that I do, V is for loving VIRTUALLY everything that you are,E is for loving almost EVERYTHING that you do,R is for RAPE me,M is for MURDER me,A is for ANSWERING all of my prayers,N is for KNOWING your loverman’s going to be the answer to all of yours, ,Loverman,’Til the bitter end,While empires burn down,Forever and ever and ever and ever ever amen,I’m your loverman,So help me baby,So help me baby,Cause I am what I am what I am what I am what I am,I’m your loverman, ,There’s a devil crawlin’ along your floor,(How much longer),There’s a devil crawlin’ along your floor,(How much longer),With a tremblin’ heart he’s coming through your door,(How much longer),With his straining sex in his jumping paw,(How much longer),There’s a devil crawlin’ along your floor,(How much longer), ,And he’s old and he’s stupid and he’s hungry and he’s sore,And he’s blind and he’s lame,And he’s dirty and he’s poor,Give me more give me more give me more give me more give me more,(How much longer),There’s a devil crawling along your floor,(How much longer), ,Loverman ha ha,And here I stand,Forever amen,‘cause I am what I am what I am what I am what I am,Hey forgive me baby,My hands are tied,And I got no choice no no no no I got no choice at all,No choice at all, ,I’ll say it again,L is for LOVE baby,O is for OH yes I do,V is for VIRTUE so I ain’t gonna hurt you,E is for EVEN if you want me to,R is for RENDER unto me baby,M is for that which is MINE and,A is for ANY old how darling and,N is for ANY old time, ,Loverman,I got a masterplan,To take off your dress,Yeah and be your man be your man,Seize the throne,Seize the mantle,Seize that crown,‘cause I am what I am what I am what I am what I am,I’m your loverman, ,There’s a devil laying by your side,(How much longer),There’s a devil laying by your side,(How much longer),You might think he’s asleep but look at his eyes,(How much longer),He wants you darlin’ to be his bride,(How much longer),Yeah there’s a devil lying by your side,(How much longer),Loverman,(How much longer)
Low Man’s Lyric;Metallica;James Hetfield,Lars Ulrich;7:36;Reload;Album;11;1997-11-18;https://www.metallica.com/songs/low-mans-lyric.html;My eyes seek reality,My fingers seek my veins,There’s a dog at your back step,He must come in from the rain, ,I fall ‘cause I’ve let go,The net below has rot away,So my eyes seek reality,And my fingers seek my veins, ,The trash fire is warm,But nowhere safe from the storm,And I can’t bear to see,What I’ve let me be,So wicked and worn, ,So as I write to you,Of what is done and to do,Maybe you’ll understand,And you won’t cry for this man,‘Cause low man is due, ,Please forgive me, ,My eyes seek reality,My fingers feel for faith,Touch clean with a dirty hand,I touch the clean to the waste, ,The trash fire is warm,But nowhere safe from the storm,And I can’t bear to see,What I’ve let me be,So wicked and worn, ,So as I write to you,Of what is done and to do,Maybe you’ll understand,And won’t cry for this man,‘Cause low man is due, ,Please forgive me, ,So low the sky is all I see,All I want from you is forgive me,So you bring this poor dog in from the rain,Though he just wants right back out again, ,And I cry to the alleyway,Confess all to the rain,But I lie lie straight to the mirror,The one I’ve broken to match my face, ,The trash fire is warm,But nowhere safe from the storm,And I can’t bear to see,What I’ve let me be,So wicked and worn, ,So as I write to you,Of what is done and to do,Maybe you’ll understand,And won’t cry for this man,‘Cause low man is due, ,Please forgive me, ,So low the sky is all I see,All I want from you is forgive me,So you bring this poor dog in from the rain,Though he just wants right back out again, ,My eyes seek reality,My fingers seek my veins
Lux Æterna;Metallica;James Hetfield,Lars Ulrich;3:22;72 Seasons;Album;6;2023-04-14;https://www.metallica.com/songs/lux-aeterna.html;Anticipation,In domination,A sea of hearts beat as one unified,Magnification,All generations,Approaching thunder awaiting the light, ,Full speed or nothing,Full speed or nothing, ,Lux Æterna,Lux Æterna, ,Exhilaration,Frenzied sensation,Kindred alliance connected inside,Commiseration,Sonic salvation,Cast out the demons that strangle your life, ,Full speed or nothing,Full speed or nothing, ,Lux Æterna,Lux Æterna,Lux Æterna, ,Emancipation,Kill isolation,Never alone for the feelings alike,Amplification,Lightning the nation,Never alive more,Than right here tonight, ,Full speed or nothing,Full speed or nothing, ,Lux Æterna,Lux Æterna, ,Light it
Mama Said;Metallica;James Hetfield,Lars Ulrich;5:20;Load;Album;11;1996-06-04;https://www.metallica.com/songs/mama-said.html;Mama she has taught me well,Told me when I was young,Son your life’s an open book,Don’t close it ’fore it’s done,The brightest flame burns quickest,That’s what I heard her say,A son’s heart’s owed to mother,But I must find my way, ,Let my heart go,Let your son grow,Mama let my heart go,Or let this heart be still, ,“Rebel” my new last name,Wild blood in my veins,Apron strings around my neck,The mark that still remains,I left home at an early age,Of what I heard was wrong,I never asked forgiveness,But what is said is done, ,Let my heart go,Let your son grow,Mama let my heart go,Or let this heart be still, ,Never I ask of you,But never I gave,But you gave me your emptiness,I now take to my grave,Never I ask of you,But never I gave,But you gave me your emptiness,I now take to my grave,So let this heart be still, ,Mama now I’m coming home,I’m not all you wished of me,A mother’s love for her son,Unspoken help me be,I took your love for granted,And all the things you said to me,I need your arms to welcome me,But a cold stone’s all I see, ,Let my heart go,Let your son grow,Mama let my heart go,Or let this heart be still, ,Let my heart go,Mama let my heart go,You never let my heart go,So let this heart be still, ,Never I ask of you,But never I gave,But you gave me your emptiness,I now take to my grave,Never I ask of you,But never I gave,But you gave me your emptiness,I now take to my grave,So let this heart be still
ManUNKind;Metallica;James Hetfield,Lars Ulrich,Robert Trujillo;6:55;Hardwired... to Self-Destruct;Album;8;2016-11-18;https://www.metallica.com/songs/manunkind.html;Chaos,Awaiting for Adams return,Madness,Smiling as we watch it burn, ,I’ve become, ,Hostage to my mind,Left myself behind,Blind lead blind,Quest to find,Faith in man(un)kind, ,Garden,Of Eden so simple and pure,Greedy,Needy must we have more, ,I’ve become, ,Hostage to my mind,Left myself behind,Blind lead blind,Quest to find,Faith in man(un)kind, ,Fascinate,Partner of insanity,Decimate,Lessons we never learn, ,Dominate,Killing of the innocence,Deviate,And to dust you return,Yeah, ,Seized by the day,Frozen captive by the night,Seized by the day,All the dark days of your life, ,Seized by the day,Frozen captive by the night,Led so astray,All the dark days of your life, ,Zero,Reset creation of man,Foolish,Ready to witness again?, ,I’ve become, ,Hostage to my mind,Left myself behind,Blind lead blind,Quest to find,Faith in man(un)kind, ,Faith in man(un)kind,Oh Faith in man(un)kind,Faith in man(un)kind,Oh Faith in man(un)kind
Master of Puppets;Metallica;James Hetfield,Lars Ulrich,Cliff Burton,Kirk Hammett;8:36;Master of Puppets;Album;2;1986-03-03;https://www.metallica.com/songs/master-of-puppets.html;End of passion play crumbling away,I’m your source of self-destruction,Veins that pump with fear sucking darkest clear,Leading on your death’s construction,Taste me you will see,More is all you need,You’re dedicated to,How I’m killing you, ,Come crawling faster,Obey your master,Your life burns faster,Obey your master,Master, ,Master of puppets I’m pulling your strings,Twisting your mind and smashing your dreams,Blinded by me you can’t see a thing,Just call my name ‘cause I’ll hear you scream,Master,Master,Just call my name ‘cause I’ll hear you scream,Master,Master, ,Needlework the way never you betray,Life of death becoming clearer,Pain monopoly ritual misery,Chop your breakfast on a mirror,Taste me you will see,More is all you need,You’re dedicated to,How I’m killing you, ,Come crawling faster,Obey your master,Your life burns faster,Obey your master,Master, ,Master of puppets I’m pulling your strings,Twisting your mind and smashing your dreams,Blinded by me you can’t see a thing,Just call my name ‘cause I’ll hear you scream,Master,Master,Just call my name ‘cause I’ll hear you scream,Master,Master, ,Master master,Where’s the dreams that I’ve been after?,Master master,You promised only lies,Laughter laughter,All I hear or see is laughter,Laughter laughter,Laughing at my cries, ,Fix me, ,Hell is worth all that natural habitat,Just a rhyme without a reason,Never-ending maze drift on numbered days,Now your life is out of season,I will occupy,I will help you die,I will run through you,Now I rule you too, ,Come crawling faster,Obey your master,Your life burns faster,Obey your master,Master, ,Master of puppets I’m pulling your strings,Twisting your mind and smashing your dreams,Blinded by me you can’t see a thing,Just call my name ‘cause I’ll hear you scream,Master,Master,Just call my name ‘cause I’ll hear you scream,Master,Master
Mastertarium;Metallica;James Hetfield,Lars Ulrich,Cliff Burton,Kirk Hammett;;;;;;https://www.metallica.com/songs/mastertarium.html;End of passion play crumbling away,I’m your source of self-destruction,Veins that pump with fear sucking darkest clear,Leading on your death’s construction,Taste me you will see,More is all you need,You’re dedicated to,How I’m killing you, ,Come crawling faster,Obey your master,Your life burns faster,Obey your master,Master, ,Master of puppets I’m pulling your strings,Twisting your mind and smashing your dreams,Blinded by me you can’t see a thing,Just call my name ‘cause I’ll hear you scream,Master,Master,Just call my name ‘cause I’ll hear you scream,Master,Master, ,Needlework the way never you betray,Life of death becoming clearer,Pain monopoly ritual misery,Chop your breakfast on a mirror,Taste me you will see,More is all you need,You’re dedicated to,How I’m killing you, ,Come crawling faster,Obey your master,Your life burns faster,Obey your master,Master, ,Master of puppets I’m pulling your strings,Twisting your mind and smashing your dreams,Blinded by me you can’t see a thing,Just call my name ‘cause I’ll hear you scream,Master,Master,Just call my name ‘cause I’ll hear you scream,Master,Master, ,Welcome to where time stands still,No one leaves and no one will,Moon is full never seems to change,Just labeled mentally deranged,Dream the same thing every night,I see our freedom in my sight,No locked doors no windows barred,No things to make my brain seem scarred, ,Sleep my friend and you will see,That dream is my reality,They keep me locked up in this cage,Can’t they see it’s why my brain says “rage”, ,Sanitarium leave me be,Sanitarium just leave me alone, ,Build my fear of what’s out there,Cannot breathe the open air,Whisper things into my brain,Assuring me that I’m insane,They think our heads are in their hands,But violent use brings violent plans,Keep him tied it makes him well,He’s getting better can’t you tell?, ,No more can they keep us in,Listen damn it we will win,They see it right they see it well,But they think this saves us from our hell, ,Sanitarium leave me be,Sanitarium just leave me alone,Sanitarium leave me the fuck alone, ,Fear of living on,Natives getting restless now,Mutiny in the air,Got some death to do,Mirror stares back hard,Kill it’s such a friendly word,Seems the only way,For reaching out again, ,Hell is worth all that natural habitat,Just a rhyme without a reason,Never-ending maze drift on numbered days,Now your life is out of season,I will occupy,I will help you die,I will run through you,Now I rule you too, ,Come crawling faster,Obey your master,Your life burns faster,Obey your master,Master, ,Master of puppets I’m pulling your strings,Twisting your mind and smashing your dreams,Blinded by me you can’t see a thing,Just call my name ‘cause I’ll hear you scream,Master,Master,Just call my name ‘cause I’ll hear you scream,Master,Master
The Mechanix;Metallica;James Hetfield,Lars Ulrich,Dave Mustaine;;;;;;https://www.metallica.com/songs/the-mechanix.html;Imagine you were at my station,And you brought your motor to me,You’re a burner a real motor car,You said you want to get your order filled,It made me shiver when I put it in,Pumping just won’t do and luckily for you, ,Who ever thought you’d better,At turning a screw than me,I do it for my life,You made my driveshaft crank,You made my pistons bulge,You made my ball bearings melt from the heat, ,We were shifting gears hard when we took off,Pushin’ hard all four on the floor,Then we hit top end but it feels so slow,You said you want to get your order filled,It made me shiver when I put it in,Pumping just won’t do and luckily for you, ,Who ever thought you’d better,At turning a screw than me,I do it for my life,You made my driveshaft crank,You made my pistons bulge,You made my ball bearings melt from the heat, ,I’m givin’ you my full service,And you know its more than enough,Your engine sparks my plug ya know that I’m in love,Imagine you were at my station,And you brought your motor to me,Put four on the floor you know what’s in store, ,Who ever thought you’d better,At turning a screw than me,I do it for my life,You made my driveshaft crank,You made my pistons bulge,You made my ball bearings melt from the heat
The Memory Remains;Metallica;James Hetfield,Lars Ulrich;4:39;Reload;Album;2;1997-11-18;https://www.metallica.com/songs/the-memory-remains.html;Fortune fame,Mirror vain,Gone insane,But the memory remains, ,Heavy rings on fingers wave,Another star denies the grave,See the nowhere crowd cry the nowhere cheers of honor, ,Like twisted vines that grow,Hide and swallow mansions whole,And dim the light of an already faded prima donna, ,Fortune fame,Mirror vain,Gone insane,Fortune fame,Mirror vain,Gone insane,But the memory remains, ,Heavy rings hold cigarettes,Up to lips that time forgets,While the Hollywood sun sets behind your back, ,And can’t the band play on?,Just listen they play my song,Ash to ash dust to dust fade to black, ,Fortune fame,Mirror vain,Gone insane,Fortune fame,Mirror vain,Gone insane,Dance little tin goddess, ,Drift away,Fade away,Little tin goddess, ,Ash to ash,Dust to dust,Fade to black, ,Fortune fame,Mirror vain,Gone insane,Fortune fame,Mirror vain,Gone insane,But the memory remains, ,Ash to ash,Dust to dust,Fade to black,But the memory remains, ,To this faded prima donna, ,Dance little tin goddess dance
Mercyful Fate;Metallica;King Diamond,Hank Shermann;11:11;Garage Inc.;Covers;7;1998-11-24;https://www.metallica.com/songs/mercyful-fate.html;They’re walking by the night,The moon has frozen blue,Long black coats a shelter for the rain,Their load must get through, ,Now bats are leaving their trees,They’re joining the call,Seven satanic Hell preachers,Heading for the hall, ,Bringing the blood of a newborn child,Got to succeed if not it’s Satan’s fall, ,Way out in Egypt in the valley of kings,Where the mummified pharaohs,Pretend dead in their sleep, ,Don’t touch never ever steal,Unless you’re in for the kill, ,Or you’ve been hit by the curse of the pharaohs,Yes you’ve been hit and the curse is on you, ,The curse of the pharaohs can be so deadly,Just destroying your future,Makin’ it all shady, ,Don’t touch never ever steal,Unless you’re in for the kill, ,Or you’ll be hit by the curse of the pharaohs,Yes you’ll be hit and the curse is on you, ,Listen,I’m a corpse,I’m a corpse,I’m a corpse without soul, ,Satan,He’s taken,He’s taken,He’s taken his toll,He took it out on me, ,I,I’m trapped,I’m trapped,I’m trapped in his spell, ,Tonight,I’m going,I’m going,I’m going to Hell,Inside his spell, ,Howl like a wolf,And a witch will open the door,Follow me and meet our high priestess, ,Come come into my coven,And become Lucifer’s child, ,Undress ’til you’re naked,And put on this white coat,Take this white cross,And go to the center of the ring, ,Come come into my coven,And become Lucifer’s child, ,I was born in the cemetery,Under the sign of the moon,Raised from my grave by the dead, ,And I was made a mercenary,In the legions of Hell,Now I’m king of pain I’m insane, ,You know my only pleasure,Is to hear you cry, ,I’d love to hear you cry,I’d love to see you die, ,And I’ll be the first,To watch your funeral,And I’ll be the last to leave, ,I’d love to hear you cry, ,And when you’re down,Beyond the ground,I’ll dig up your body again,And make love to shame, ,Oh lady cry and say goodbye,Oh lady cry and say goodbye,You’ve gotta say goodbye,‘Cause I will eat your mind
Metal Militia;Metallica;James Hetfield,Lars Ulrich,Dave Mustaine;5:11;Kill 'Em All;Album;10;1983-07-25;https://www.metallica.com/songs/metal-militia.html;Thunder and lightning the gods take revenge,Senseless destruction,Victims of fury are cowardly now,Running for safety,Stabbing the harlot to pay for her sins,Leaving the virgin,Suicide running as if it were free,Ripping and tearing, ,Oh through the mist and the madness,We’re trying to get the message to you, ,Metal militia,Metal militia,Metal militia, ,Chained and shadowed to be left behind,Nine and one thousand,Metal militia for your sacrifice,Iron clad soldiers,Join or be conquered the law of the land,What will befall you?,The metallization of your inner soul,Twisting and turning, ,Oh through the mist and the madness,We’re trying to get the message to you, ,Metal militia,Metal militia,Metal militia, ,We are as one yes we all are the same,Fighting for one cause,Leather and metal are our uniforms,Protecting what we are,Joining together to take on the world,With our heavy metal,Spreading the message to everyone here,Come let yourself go, ,Oh through the mist and the madness,We’re trying to get the message to you, ,Metal militia,Metal militia,Metal militia
− Human;Metallica;James Hetfield,Lars Ulrich;4:20;S&M;Live;4;1999-11-23;https://www.metallica.com/songs/minus-human.html;Don’t you leave me Father Time,Take me with you,Tell me does your sun still shine?,Come squeeze the world and drip it down my throat again,Down my throat again, ,You got to breathe man breathe,Coming up for air,Breathe man breathe,Coming up for air, ,Touch me so I think I’m here,Skin my senses,Barely breathing minus human,Just squeeze the world and drip it down my throat again,Down my throat again, ,You got to breathe man breathe,Coming up for air,Breathe man breathe,Coming up for air
Mistress Dread;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo,Lou Reed;6:50;Lulu;Collaborative;4;2011-10-31;https://www.metallica.com/songs/mistress-dread.html;I’m built like you are,I have a dress and a train,Your snake cold lips,Make a harsh straight line,That echoes through my brain,You’re perfect,Let me lift a glass high,Let me follow in your footsteps,Let me follow in your sigh,Let me follow in your sigh, ,I’m a woman who likes men,But this is something else,I’ve never felt such stirrings,I feel like I,Was someone else, ,I wish you’d tie me up and beat me,Crush me like a kick,A bleeding strap across my back,Some blood that you could kiss, ,Oh kiss away oh kiss away,I wish there was a strap of blood,That you could kiss away,I wish there was a strap of blood,That you could kiss away,Tie me with a scarf and jewels,Put a bloody gag to my teeth, ,I beg you to degrade me,Is there waste that I could eat, ,I am a secret lover,I am your little girl,Please spit into my mouth,I’m forever in your swirl,You’re heartless and I love that,You have no use of me, ,But I open the sticks sticky legs I bear,And then insert a fist an arm,Some lost appendage,Please open me I beg, ,You are my goliath,You are my goliath,And I am mistress dread, ,Oh I am mistress dread,Oh I am mistress dread, ,Open and release me,I love you in my head, ,Oh kiss away kiss away,Kiss away kiss away, ,All I ask my baby,Kiss away, ,All I ask my baby,Kiss away
The Money Will Roll Right In;Fang;Chris Wilson,Tom Flynn;;;;;;https://www.metallica.com/songs/the-money-will-roll-right-in.html;I’m going to Hollywood,And they’ll see that I’m so good,I won’t care how I feel,And I’ll get to fuck Brooke Shields, ,And I’ll just sit and grin,The money will roll right in, ,I want to be a star,I’m going to have a car,And you’ll have to admit,I’ll be rich as shit, ,And I’ll just sit and grin,The money will roll right in, ,I would give you some,If you only would have treated me nice,And you’ll wish that you did,You’ll feel pretty stupid, ,And I’ll just sit and grin,The money will roll right in, ,And I’ll just sit and grin,The money will roll right in, ,It’s fun to be a star,It’s nice to have a car,Yeah you’ll have to admit,That I’ll be rich as shit, ,And I’ll just sit and grin,The money will roll right in, ,The money will roll right in
The More I See;Discharge;Cal Morris,Roy Wainwright,Gary Maloney,Tony Roberts;4:49;Garage Inc.;Covers;11;1998-11-24;https://www.metallica.com/songs/the-more-i-see.html;From where I stand I see,Pain suffering and misery, ,The more I see the more I see,The less the less I believe, ,From where I stand I see,Hate violence and war, ,The more I see the more I see,The less the less I believe
Moth Into Flame;Metallica;James Hetfield,Lars Ulrich;5:50;Hardwired... to Self-Destruct;Album;4;2016-11-18;https://www.metallica.com/songs/moth-into-flame.html;Blacked out,Pop queen amphetamine,The screams crashed into silence, ,Tapped out,Doused in the gasoline,The high times going timeless, ,Decadence,Death of the innocence,The pathway starts to spiral, ,Infamy,All for publicity,Destruction going viral, ,Light it up,Ah light it up,Another hit erases all the pain,Bulletproof,Ah kill the truth,You’re falling but you think you’re flying high,High again, ,Sold your soul,Built a higher wall,Yesterday,Now you’re thrown away, ,Same rise and fall,Who cares at all?,Seduced by fame,A moth into the flame, ,Twisted,Backstabbing wicked,The delusion absolution, ,Perjurer,Fame is the murderer,Seduce you into ruin, ,Light it up,Ah light it up,Another hit erases all the pain,Bulletproof,Ah tell the truth,You’re falling but you think you’re flying high,High again, ,Sold your soul,Built the higher wall,Yesterday,Now you’re thrown away, ,Same rise and fall,Who cares at all?,Seduced by fame,A moth into the flame,Burn, ,Guarantee your name you go and kill yourself,The vultures feast around you still,Overdose on shame and insecurity,If one won’t do that fistful will, ,Death scene,Black hearse the limousine,A grave filled with seduction, ,Vaccine,Fame does the murdering,She builds up for destruction, ,So light it up,Ah light it up,Another hit erases all the pain,Bulletproof,Ah no excuse,You’re falling but you think you’re flying high,High again, ,Sold your soul,Built the higher wall,Yesterday,Now you’re thrown away, ,Same rise and fall,Who cares at all?,Seduced by fame,A moth into the flame, ,Addicted to the,Fame
Motorbreath;Metallica;James Hetfield;3:08;Kill 'Em All;Album;3;1983-07-25;https://www.metallica.com/songs/motorbreath.html;Living and dying laughing and crying,Once you have seen it you’ll never be the same,Life in the fast lane is just how it seems,Hard and it’s heavy and dirty and mean, ,Motorbreath,It’s how I live my life,I can’t take it any other way,Motorbreath,The sign of living fast,It is going to take your breath away, ,Don’t stop for nothing it’s full speed or nothing,I’m taking down you know whatever’s in my way,Getting your kicks as you’re shooting the line,Sending the shivers up and down my spine, ,Motorbreath,It’s how I live my life,I can’t take it any other way,Motorbreath,The sign of living fast,It is going to take your breath away, ,Those people who tell you not to take chances,They are all missing on what life’s about,You only live once so take hold of the chance,Don’t end up like others same song and dance, ,Motorbreath,It’s how I live my life,I can’t take it any other way,Motorbreath,The sign of living fast,It is going to take your breath away
Motorcycle Man;Saxon;Biff Byford,Paul Quinn,Graham Oliver,Steve Dawson,Pete Gill;;;;;;https://www.metallica.com/songs/motorcycle-man.html;If you see me riding by,Do not stop me do not try,‘Cause we’re all motorcycle men,We get our kicks just when we can, ,Motorcycle man,Motorcycle man, ,Like an angel slick machine,We're taking risks that’s what we mean,Cause we’re all motorcycle men,We get our kicks just when we can, ,Motorcycle man,Motorcycle man, ,If you see me riding by,Do not stop me do not try,Cause we’re all motorcycle men,We get our kicks just when we can, ,Motorcycle man,Motorcycle man,Motorcycle motorcycle,Motorcycle man, ,Like an angel slick machine,We're taking risks that’s what we mean,‘Cause we’re all motorcycle men,We get our kicks just when we can, ,Motorcycle man,Motorcycle man,Motorcycle motorcycle,Motorcycle man
Mr. Soul;Buffalo Springfield;Neil Young;;;;;;https://www.metallica.com/songs/mr-soul.html;Oh hello Mr. Soul I dropped by to pick up a reason,For the thought that I caught that my head is the event of the season,Why in crowds just a trace of my face could seem so pleasin’,I’ll cop out to the change but a stranger is putting the tease on	,I was down on a frown when the messenger brought me a letter,I was raised by the praise of a fan who said I upset her,Any girl in the world could have easily known me better,She said “You’re strange but don’t change” and I let her, ,In a while will the smile on my face turn to plaster?,Stick around while the clown who is sick does the trick of disaster,For the race of my head and my face is moving much faster,Is it strange I should change? I don’t know why don’t you ask her?
Murder One;Metallica;James Hetfield,Lars Ulrich;5:45;Hardwired... to Self-Destruct;Album;11;2016-11-18;https://www.metallica.com/songs/murder-one.html;One crown,Shines on through the sound,One crown,Born to lose,One man,Does not give a damn,One man,No excuse, ,Aces wild,Aces high,All the aces,Aces ‘til you die, ,White lines fading,The iron horse rolls on and on and on, ,Hear your thunder,Still feeding back,Still hear your thunder,The man in black,Born to lose,Living to win, ,One fist,Hammers through the mist,One fist,Steady on,One heart,Die hard from the start,One heart,Beats its song, ,Murder all,Murder one,Gimme murder,Second class to none, ,Headlights fading,The iron horse rolls on and on and on, ,Hear your thunder,Still feeding back,Still hear your thunder,The man in black,Born to lose,Living to win, ,Hear your thunder,Still feeding back,Still hear your thunder,The man in black,Born to lose,No excuse, ,Till the end,Been living to win,Been living to win
My Apocalypse;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;5:01;Death Magnetic;Album;10;2008-09-12;https://www.metallica.com/songs/my-apocalypse.html;Claustrophobic,Crawl out of this skin,Heart explosive,Reach in pull that pin, ,Fear thy name: extermination,Desecrate inhale the fire, ,So we cross that line,Into the grips,Total eclipse,Suffer unto my apocalypse, ,Deadly vision,Prophecy reveal,Death magnetic,Pulling closer still, ,Fear thy name: annihilation,Desolate inhale the fire, ,So we cross that line,Into the grips,Total eclipse,Suffer unto my apocalypse, ,Crushing metal ripping skin,Tossing body mannequin,Spilling blood bleeding gas, ,Mangle flesh snapping spine,Dripping bloody valentine,Shatter face spitting glass, ,Split apart,Split apart,Split apart,Spit,Spit it out, ,What makes me drift a little bit closer?,Dead man takes the steering wheel,What makes me know it’s time to cross over?,Born to repeat until I feel, ,See through the skin bones they all rattle,Future and past they disagree,Flesh falls away bones they all shatter,I start to see the end in me, ,Claustrophobic,Climb out of this skin,Heart explosive,Reach in pull that pin, ,Violate annihilate,All wounds unto my eyes,Obliterate exterminate,As life itself denied, ,Fear thy name as hell awakens,Destiny inhale the fire, ,But we’ve crossed that line,Into the grips,Total eclipse,Suffer unto my apocalypse, ,Tyrant awaken my apocalypse,Demon awaken my apocalypse,Heaven awaken my apocalypse,Suffer forever my apocalypse
My Friend of Misery;Metallica;James Hetfield,Lars Ulrich,Jason Newsted;6:49;Metallica;Album;11;1991-08-12;https://www.metallica.com/songs/my-friend-of-misery.html;You just stood there screaming,Fearing no one was listening to you,They say the empty can rattles the most,The sound of your own voice must soothe you,Hearing only what you want to hear,And knowing only what you’ve heard, ,You,You’re smothered in tragedy,And you’re out to save the world, ,Misery,You insist that the weight of the world,Should be on your shoulders, ,Misery,There’s much more to life than what you see,My friend of misery, ,You still stood there screaming,No one caring about these words you tell,My friend before your voice is gone,One man’s fun is another’s hell,These times are sent to try men’s souls,But something’s wrong with all you see, ,You,You’ll take it on all yourself,Remember misery loves company, ,Misery,You insist that the weight of the world,Should be on your shoulders, ,Misery,There’s much more to life than what you see,My friend of misery, ,You just stood there screaming,My friend of misery
My World;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;5:45;St. Anger;Album;6;2003-06-05;https://www.metallica.com/songs/my-world.html;The motherfuckers got in my head,Trying to make me someone else instead, ,It’s my world now, ,Mama why’s it rainin’ in my room?,Cheer up boy clouds will move on soon,Heavy fog got me lost inside,Gonna sit right back and enjoy this ride, ,It’s my world,You can’t have it,It’s my world it’s my world,It’s my world, ,I’m out of my head out of my head,Get ’em out of my head out of my head,Get ’em out, ,Who’s in charge of my head today?,Dancin’ devils in angels way, ,It’s my time now, ,Look out motherfuckers here I come,Gonna make my head my home,The sons of bitches tried to take my head,Tried to make me someone else instead, ,It’s my world,You can’t have it,It’s my world it’s my world,It’s my world, ,I’m out of my head out of my head,Get ’em out of my head out of my head,Get ’em out, ,Not only do I not know the answer,I don’t even know what the question is, ,God it feels like it only rains on me, ,Not only do I not know the answer,I don’t even know what the question is, ,I’m out of my head out of my head,Get ’em out of my head out of my head,Get ’em out, ,Enough’s enough
